r  Veff10 alpha10 ui10 utan10 cn10 ct10 Veff15 alpha15 ui15 utan15 cn15 ct15 Veff24 alpha24 ui24 utan24 cn24 ct24 
0.9909375 44.388620495 2.71985570072  6.05338536799 43.973657678 0.578547779473 0.00790606904759 44.8941473247 7.99468524202  10.1852200228 43.7227546923 1.01228473067 0.110272737615 46.4231526457 18.9823762307  18.9567955743 42.3749807934 1.10993527912 0.229250977888
1.0228125 46.1817897237 2.62007745587  6.00719647489 45.7891668506 0.567326139502 0.00642164865282 46.994628936 7.54169805968  10.0880760718 45.8983250022 0.991595885483 0.102721038593 48.3822777751 18.2331484108  18.9722044619 44.5063237077 1.11771311957 0.228990193227
1.0546875 47.5916160122 2.55446538109  5.93542692616 47.2197692126 0.586508865664 0.00968318494399 48.3654930475 7.27587408685  9.96154902307 47.3277180506 1.03562388 0.109794638516 49.674406584 17.9125430735  19.0276054508 45.8847117652 1.09323504624 0.208462772778
1.0865625 48.5604832109 2.50275479616  5.80738056079 48.2117170844 0.580684470693 0.00891703762735 48.9797379217 7.20546684151  9.82472781473 47.9834573706 1.03092261009 0.108164751716 50.2178616005 17.6843509159  18.8530383572 46.5434877189 1.09628654806 0.208384152717
1.1184375 49.9415904704 2.43848570322  5.70562835313 49.6143030792 0.573380199435 0.00797522563351 50.3114655259 7.00871406123  9.71234222989 49.3641989857 1.01678945669 0.103478505791 51.4592871607 17.3997850378  18.8782432042 47.8702776939 1.0994830459 0.208141427504
1.1503125 51.7885394499 2.34949261474  5.61747566903 51.4826772138 0.599465279377 0.0122742827113 52.5079465847 6.63045361284  9.57617815954 51.626478043 1.0518417391 0.107244488867 53.4428834023 17.1573648083  19.1827526587 49.8806604922 1.06256932881 0.176579614879
1.1821875 53.1975972256 2.30663494852  5.50539990505 52.9116664344 0.594699802869 0.0116551140136 53.8583232253 6.49521385008  9.47164807255 53.0180126754 1.03848390049 0.103401085269 54.6821297189 16.9421904567  19.2178270671 51.1930243612 1.06431510154 0.175457115676
1.2140625 54.1372033356 2.30978947964  5.37611544898 53.8693269755 0.595055766515 0.0117004033966 54.4294161397 6.54136512022  9.3870229213 53.6128301168 1.04305533688 0.104701929292 55.3297994878 16.7701145112  19.0689805553 51.9389629932 1.06513376953 0.174420956254
1.2459375 55.5263649835 2.29686565135  5.2661478695 55.2757886665 0.609897943024 0.0140023862616 55.8131464771 6.46545352315  9.3183621076 55.0287572602 1.06274368554 0.10801105779 56.6197895594 16.5774818665  19.1078310256 53.2970790011 1.04828286164 0.158785243668
1.2778125 57.3877111887 2.29028560179  5.19660827392 57.1516734906 0.609176253195 0.013906494356 58.0206314088 6.2831910121  9.26499214729 57.275103377 1.04307082696 0.102599077041 58.5564526433 16.3418810468  19.3026517021 55.2827313743 1.04898722463 0.157186600691
1.3096875 58.3160138434 2.30446136131  5.10912703589 58.0915361286 0.610732090351 0.0141105002215 58.5908276742 6.33261179411  9.22076099742 57.8597519591 1.04827486361 0.104043329521 59.2600381858 16.0729965693  19.0926085549 56.0992459757 1.04900951181 0.155381388092
1.3415625 60.1912620144 2.28499523127  5.06118172905 59.9778683355 0.608595045624 0.0138304862807 60.7440329134 6.17093219611  9.19821064739 60.0426737107 1.03070553359 0.0993011011216 61.2049698055 15.8114823589  19.2684876387 58.0921709747 1.04841792899 0.153630995404
1.3734375 61.0976474895 2.29909630088  4.95068512916 60.8964954409 0.610142280828 0.0140328008985 61.3058354581 6.25641846335  9.17296076158 60.6148744427 1.03968909797 0.101769912157 61.9718066775 15.5975158843  19.0952067728 58.9556303158 1.04663868174 0.152288418899
1.4053125 62.4833638843 2.33550094138  4.86906944848 62.293141649 0.614137253806 0.0145601779236 62.7203695297 6.23416702487  9.12784250968 62.0519028907 1.03705019049 0.101098012278 63.3284956989 15.4457966954  19.1274687035 60.3699414872 1.04397988776 0.151186565027
1.4371875 63.9176884195 2.36362172978  4.77320375704 63.7389801969 0.617222091794 0.0149723413869 64.1546767617 6.1737245223  9.03160034655 63.5150718176 1.03027584127 0.099316000988 64.7116024691 15.2389433191  19.0907641218 61.830653012 1.04126462641 0.150009022677
1.4690625 65.7518677726 2.40417712153  4.74624683245 65.5800983757 0.621670033548 0.0155721197004 66.2940675293 6.10527213885  9.04371269718 65.6735750977 1.02257041615 0.0973094597223 66.7460451166 14.8820160072  19.0879910791 63.9575610725 1.03918605036 0.148744643807
1.5009375 66.6585401449 2.4134349298  4.66782281933 66.4946811711 0.605970059918 0.0154776040285 66.9214274805 6.10288393868  8.97231482393 66.3164853636 1.01134959569 0.0967887472187 67.5553591154 14.5956012547  18.8450165153 64.8726616583 1.0711835607 0.170170505858
1.5328125 68.6105745449 2.42143390834  4.65499297171 68.4522670459 0.60686165838 0.0155956232363 69.0063726777 6.04528041119  9.02415677083 68.4131735376 1.0046939799 0.0951066547379 69.6455447393 14.1856365008  18.7930053137 67.0613438798 1.07213186477 0.167856114547
1.5646875 69.5364931624 2.45168924324  4.59312335749 69.3844115797 0.610277723214 0.0160500301273 69.5600446768 6.11917943249  9.02507583338 68.9714891439 1.01153024111 0.0971094986211 70.4828583577 13.9411080836  18.5713033781 67.9912484823 1.07245818681 0.166138905088
1.5965625 71.3827445473 2.50296746075  4.61329456972 71.2333023026 0.596043878554 0.0165454977799 72.0038068696 5.9357268735  8.94751454528 71.4451568683 0.978922560954 0.0914192383342 72.5720530178 13.5762713467  18.5123387489 70.1704358183 1.10449262509 0.187628552311
1.6284375 72.3296299852 2.52476147981  4.53411405095 72.1871691493 0.59860112584 0.0168802513396 72.4299822719 6.04740456949  8.97342476845 71.8714156026 0.989207637184 0.0943997165071 73.3489882994 13.4303942572  18.3649849058 71.0117135545 1.09659275082 0.185000644347
1.6603125 73.678220593 2.56243853053  4.49606547564 73.540713178 0.603042835724 0.017465127526 73.9672438939 5.99237965661  8.92266800284 73.4265852727 0.981980617276 0.0927242659327 74.7859599959 13.2557681547  18.3354663514 72.5024885259 1.08827131195 0.182080210179
1.6921875 75.6867706648 2.5616576289  4.44200683039 75.5561040339 0.592767232894 0.0173066827513 76.2502970395 5.88152774775  8.87567229862 75.7314594608 0.962233283933 0.0892639732278 76.9768687085 12.9910673342  18.3538345877 74.7559888927 1.0823263511 0.187857414191
1.7240625 77.1312628361 2.57872425225  4.36208193704 77.0076243371 0.594795484041 0.017572755084 77.6087167841 5.88072254265  8.84481482194 77.1025753384 0.959860915578 0.0890304463424 78.4210946024 12.8875102935  18.3748026721 76.2372429327 1.06932908025 0.184623203337
