Time;TSR;Thrust;Power;Ct;Cp;MeanWind_Norm;Full_TI;Pitch;Omega
4.345;1.2e-11;133.566;4.15077e-07;0.000976073;2.02219e-13;15;0;-1.43117;-1e-11;
4.4;1.2e-11;133.534;4.15091e-07;0.000975836;2.02226e-13;15;0;-1.43117;-1e-11;
4.455;1.2e-11;133.503;4.15104e-07;0.000975609;2.02232e-13;15;0;-1.43117;-1e-11;
4.51;1.2e-11;133.473;4.15117e-07;0.000975391;2.02239e-13;15;0;-1.43117;-1e-11;
4.565;1.2e-11;133.444;4.1513e-07;0.000975181;2.02245e-13;15;0;-1.43117;-1e-11;
4.62;1.2e-11;133.417;4.15142e-07;0.000974979;2.02251e-13;15;0;-1.43117;-1e-11;
4.675;1.2e-11;133.39;4.15153e-07;0.000974784;2.02256e-13;15;0;-1.43117;-1e-11;
4.73;1.2e-11;133.364;4.15164e-07;0.000974597;2.02262e-13;15;0;-1.43117;-1e-11;
4.785;1.2e-11;133.34;4.15175e-07;0.000974416;2.02267e-13;15;0;-1.43117;-1e-11;
4.84;1.2e-11;133.316;4.15185e-07;0.000974242;2.02272e-13;15;0;-1.43117;-1e-11;
4.895;1.2e-11;133.293;4.15195e-07;0.000974074;2.02277e-13;15;0;-1.43117;-1e-11;
4.95;1.2e-11;133.271;4.15205e-07;0.000973912;2.02281e-13;15;0;-1.43117;-1e-11;
