x u10 v10 w10 u15 v15 w15 u24 v24 w24
-4.21989 9.49195 0.0561325 -3.19372e-06 14.5092 0.0532192 0.000304692 23.7498 0.0293492 -1.1716e-06
-4.21589 9.49108 0.0562468 -2.98607e-06 14.5083 0.0533298 0.00030478 23.7494 0.0294124 -1.27432e-06
-4.21189 9.4902 0.0563612 -2.86987e-06 14.5075 0.0534413 0.000304823 23.7489 0.0294755 -1.33204e-06
-4.20789 9.48932 0.056476 -2.67849e-06 14.5067 0.0535524 0.000304912 23.7484 0.029539 -1.35106e-06
-4.20389 9.48844 0.0565905 -2.28064e-06 14.5058 0.0536643 0.000304995 23.748 0.0296025 -1.44817e-06
-4.19989 9.48756 0.0567057 -2.05719e-06 14.505 0.0537759 0.000305017 23.7475 0.0296662 -1.52659e-06
-4.19588 9.48668 0.0568212 -1.75542e-06 14.5041 0.0538882 0.000305014 23.747 0.0297299 -1.49426e-06
-4.19188 9.48579 0.0569372 -1.58277e-06 14.5033 0.0540007 0.000305082 23.7466 0.029794 -1.56387e-06
-4.18788 9.4849 0.0570529 -1.33493e-06 14.5024 0.0541133 0.000305269 23.7461 0.029858 -1.57457e-06
-4.18388 9.48402 0.0571696 -1.16432e-06 14.5015 0.0542264 0.0003053 23.7456 0.0299224 -1.6557e-06
-4.17988 9.48313 0.0572859 -8.45062e-07 14.5007 0.0543396 0.00030543 23.7452 0.0299868 -1.71777e-06
-4.17588 9.48223 0.0574027 -5.51721e-07 14.4998 0.0544534 0.000305367 23.7447 0.0300516 -1.77377e-06
-4.17188 9.48134 0.0575191 -3.86479e-07 14.499 0.0545674 0.00030535 23.7442 0.0301163 -1.85917e-06
-4.16787 9.48044 0.057637 -1.78604e-07 14.4981 0.0546817 0.000305424 23.7437 0.0301815 -1.85219e-06
-4.16387 9.47955 0.0577549 7.47825e-08 14.4972 0.054796 0.000305594 23.7433 0.0302465 -1.88519e-06
-4.15987 9.47864 0.0578728 3.1906e-07 14.4964 0.0549108 0.000305593 23.7428 0.0303119 -1.92885e-06
-4.15587 9.47774 0.057991 6.21304e-07 14.4955 0.0550259 0.000305577 23.7423 0.0303774 -2.01911e-06
-4.15187 9.47684 0.0581095 6.46413e-07 14.4946 0.055141 0.000305727 23.7418 0.030443 -1.97719e-06
-4.14787 9.47593 0.0582282 9.51312e-07 14.4937 0.0552568 0.000305757 23.7413 0.030509 -2.10871e-06
-4.14386 9.47503 0.0583478 1.1734e-06 14.4929 0.0553724 0.000305845 23.7409 0.030575 -2.03976e-06
-4.13986 9.47412 0.0584671 1.44221e-06 14.492 0.0554889 0.000305862 23.7404 0.0306412 -2.09987e-06
-4.13586 9.47321 0.0585866 1.61481e-06 14.4911 0.0556053 0.000305864 23.7399 0.0307075 -2.18311e-06
-4.13186 9.47229 0.0587062 1.8368e-06 14.4902 0.0557223 0.000306003 23.7394 0.0307741 -2.19675e-06
-4.12786 9.47138 0.0588264 2.08478e-06 14.4894 0.0558391 0.000306055 23.7389 0.0308407 -2.26765e-06
-4.12386 9.47046 0.0589472 2.33811e-06 14.4885 0.0559569 0.000306153 23.7384 0.0309076 -2.18549e-06
-4.11986 9.46954 0.0590675 2.63505e-06 14.4876 0.0560743 0.000306216 23.7379 0.0309748 -2.30463e-06
-4.11585 9.46862 0.0591889 2.79004e-06 14.4867 0.0561925 0.000306209 23.7375 0.0310421 -2.30675e-06
-4.11185 9.4677 0.0593103 3.10554e-06 14.4858 0.0563109 0.000306365 23.737 0.0311094 -2.29194e-06
-4.10785 9.46677 0.0594319 3.33569e-06 14.4849 0.0564296 0.000306332 23.7365 0.0311772 -2.49738e-06
-4.10385 9.46585 0.0595536 3.51926e-06 14.484 0.0565485 0.00030629 23.736 0.0312448 -2.43234e-06
-4.09985 9.46492 0.0596758 3.82279e-06 14.4831 0.0566674 0.000306305 23.7355 0.0313127 -2.59249e-06
-4.09585 9.464 0.059798 4.09332e-06 14.4822 0.056787 0.000306451 23.735 0.0313808 -2.63041e-06
-4.09184 9.46306 0.0599212 4.26347e-06 14.4813 0.0569068 0.000306538 23.7345 0.0314491 -2.62987e-06
-4.08784 9.46213 0.0600443 4.53472e-06 14.4804 0.0570269 0.000306482 23.734 0.0315177 -2.72205e-06
-4.08384 9.46119 0.0601677 4.8397e-06 14.4795 0.0571475 0.000306606 23.7335 0.0315863 -2.69735e-06
-4.07984 9.46025 0.0602912 4.96068e-06 14.4786 0.0572678 0.000306583 23.733 0.0316551 -2.70757e-06
-4.07584 9.45931 0.0604152 5.17772e-06 14.4777 0.0573889 0.000306677 23.7325 0.0317239 -2.79864e-06
-4.07184 9.45837 0.0605399 5.42319e-06 14.4768 0.05751 0.000306771 23.732 0.0317935 -2.89196e-06
-4.06784 9.45743 0.0606646 5.69739e-06 14.4759 0.0576321 0.000306743 23.7315 0.0318628 -2.95716e-06
-4.06383 9.45648 0.0607895 6.08853e-06 14.475 0.0577535 0.000306807 23.731 0.0319324 -2.91413e-06
-4.05983 9.45554 0.0609141 6.32665e-06 14.4741 0.0578756 0.000306917 23.7305 0.0320023 -2.99603e-06
-4.05583 9.45459 0.06104 6.55651e-06 14.4731 0.0579986 0.000306945 23.73 0.0320721 -3.00657e-06
-4.05183 9.45363 0.0611656 6.79488e-06 14.4722 0.0581212 0.000307121 23.7295 0.0321423 -3.02513e-06
-4.04783 9.45268 0.0612917 6.85889e-06 14.4713 0.0582443 0.000307161 23.729 0.0322125 -3.13307e-06
-4.04383 9.45173 0.061418 7.25159e-06 14.4704 0.0583677 0.000306973 23.7285 0.0322832 -3.1477e-06
-4.03982 9.45077 0.0615449 7.55127e-06 14.4695 0.0584919 0.000307193 23.728 0.0323537 -3.2085e-06
-4.03582 9.44981 0.0616715 7.8066e-06 14.4685 0.0586155 0.000307185 23.7274 0.0324245 -3.34911e-06
-4.03182 9.44885 0.0617991 8.07167e-06 14.4676 0.0587398 0.000307175 23.7269 0.0324956 -3.35645e-06
-4.02782 9.44789 0.0619268 8.14736e-06 14.4667 0.0588647 0.000307252 23.7264 0.0325671 -3.32844e-06
-4.02382 9.44692 0.0620545 8.54279e-06 14.4657 0.0589898 0.000307296 23.7259 0.0326384 -3.43614e-06
-4.01982 9.44596 0.0621828 8.72195e-06 14.4648 0.059115 0.000307316 23.7254 0.03271 -3.46128e-06
-4.01582 9.44499 0.0623113 9.07555e-06 14.4639 0.0592407 0.000307391 23.7249 0.032782 -3.49471e-06
-4.01181 9.44402 0.0624405 9.33619e-06 14.4629 0.0593667 0.000307314 23.7244 0.0328538 -3.52916e-06
-4.00781 9.44304 0.0625692 9.55259e-06 14.462 0.0594929 0.000307365 23.7238 0.0329261 -3.59915e-06
-4.00381 9.44207 0.0626989 9.87512e-06 14.4611 0.0596195 0.000307541 23.7233 0.0329984 -3.68611e-06
-3.99981 9.44109 0.0628288 1.00413e-05 14.4601 0.0597465 0.000307564 23.7228 0.0330709 -3.73453e-06
-3.99581 9.44011 0.0629589 1.03943e-05 14.4592 0.059874 0.000307621 23.7223 0.0331437 -3.85553e-06
-3.99181 9.43913 0.063089 1.04024e-05 14.4582 0.0600013 0.000307719 23.7217 0.0332165 -3.89649e-06
-3.9878 9.43814 0.0632201 1.08933e-05 14.4573 0.0601291 0.000307733 23.7212 0.0332898 -3.84641e-06
