r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.433957 8.22213133003 -0.197087822868 -1.76319803945 14.0880957995 -0.262981748529 -2.13066964919 23.7057321109 -0.0135397764931 -2.2707159369
0.435571 8.19572100696 -0.193150609099 -1.76922581644 14.0250255518 -0.265954782222 -2.16427915247 23.6701752653 -0.0108293810704 -2.30159092153
0.437185 8.16992451421 -0.189386729932 -1.77488378459 13.9634070991 -0.268802077241 -2.19668049072 23.6343057108 -0.0075497790684 -2.33244618543
0.438799 8.14483930149 -0.18582704114 -1.78013516066 13.9035246919 -0.271405602548 -2.22775338456 23.5982646559 -0.0036825908648 -2.36319084922
0.440413 8.1205286019 -0.182486985597 -1.78495865311 13.8455589138 -0.273630888285 -2.25742106715 23.5621578507 0.0007736643778 -2.3937106002
0.442027 8.09707475689 -0.179378514545 -1.78933999119 13.7895664733 -0.275330841703 -2.28564715927 23.526147129 0.0058109112229 -2.42386237973
0.443641 8.07452308294 -0.176509484242 -1.79326442915 13.7355915788 -0.276351073763 -2.31243381513 23.4903982412 0.011406535866 -2.45347267497
0.445255 8.05290270908 -0.173878300166 -1.79672255036 13.6835518551 -0.27656648589 -2.33784650151 23.4551660209 0.0175221349095 -2.48235228139
0.446869 8.0322143894 -0.171485475226 -1.79972516322 13.6332915102 -0.275840355744 -2.36197986865 23.4206426354 0.0240922227949 -2.51029294022
0.448483 8.01243607797 -0.169318203029 -1.80228480107 13.5846260853 -0.274067197291 -2.38498933352 23.3870780434 0.0310484064715 -2.53708229269
0.450097 7.99355359976 -0.167372146405 -1.80441120977 13.5372871214 -0.271162228287 -2.40705698819 23.3546674119 0.038272993618 -2.5624999759
0.451711 7.97552744229 -0.165636886462 -1.8061310393 13.4909088262 -0.267072860303 -2.42839437895 23.3236274082 0.045639597316 -2.58636373112
0.453325 7.95829433054 -0.164103813533 -1.80747074802 13.445178574 -0.261788775382 -2.44922316461 23.2941501575 0.0530083676932 -2.60851059969
0.454939 7.9418184979 -0.162751560534 -1.8084553734 13.3996845722 -0.255317948958 -2.46978254985 23.2663110766 0.0602096856727 -2.62883107307
0.456553 7.92602292354 -0.161574585464 -1.80911889462 13.3540729449 -0.247720483204 -2.49027742679 23.2401799158 0.0670746309017 -2.64729133452
0.458167 7.91086757835 -0.160559106956 -1.80948026582 13.3080398167 -0.239093751626 -2.51090003751 23.2156781748 0.0734240692813 -2.66391020075
0.459781 7.89629158735 -0.159686415612 -1.80956567448 13.2613909369 -0.229569094427 -2.5318055782 23.1927470619 0.0791040263333 -2.67879757613
0.461394 7.88224266724 -0.158942289518 -1.80940939561 13.2139000133 -0.219287134795 -2.55311509498 23.1711962434 0.0839630909151 -2.69214562356
