r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.356488 8.07116999115 -0.567270134187 -0.0129425323879 13.1056111713 -0.736864333974 -0.0235062463402 23.1164721498 -0.614391660962 -0.0278565653771
0.358102 8.0667233623 -0.568140675527 -0.0129788739292 13.0997850832 -0.738178467883 -0.0235700739092 23.1117255629 -0.61544647452 -0.0279214106912
0.359716 8.06227252928 -0.568988775599 -0.0130135263424 13.0939502451 -0.739459098016 -0.0236336381053 23.1069623093 -0.616473336805 -0.0279860802563
0.36133 8.05781179626 -0.569809825232 -0.0130478000894 13.0881036153 -0.740704068957 -0.0236972720095 23.1021990557 -0.617470351155 -0.0280485362387
0.362944 8.0533480299 -0.570604816509 -0.0130833495029 13.0822393605 -0.74191815195 -0.0237607056662 23.0974318438 -0.618438485063 -0.028110363304
0.364558 8.04887523436 -0.571376042348 -0.0131165813748 13.0763966474 -0.743093859915 -0.0238228142805 23.0926598402 -0.619377379368 -0.0281705958699
0.366172 8.04439687633 -0.572121494001 -0.0131509073304 13.0704706008 -0.744236254519 -0.0238840528534 23.0878377949 -0.620286585734 -0.028230899272
0.367786 8.03991242246 -0.572841866883 -0.0131830715733 13.0645945961 -0.745343423262 -0.0239440435502 23.0830294163 -0.621168258747 -0.0282901194239
0.3694 8.03542279359 -0.573536161408 -0.0132148919428 13.0586597579 -0.746418817396 -0.0240049081644 23.0782162043 -0.622019972987 -0.028347837658
0.371014 8.03092953137 -0.574205057998 -0.0132470878958 13.0527465031 -0.747456335668 -0.0240655228234 23.0734117424 -0.622843328042 -0.028403350976
0.372628 8.02643017749 -0.574847643729 -0.0132790739725 13.0467950399 -0.748461853913 -0.0241238320632 23.0685730721 -0.623636015154 -0.0284583107937
0.374241 8.02192652361 -0.575467303194 -0.0133109807149 13.0408150766 -0.749431567547 -0.0241818010524 23.0637559435 -0.624400567247 -0.0285119753612
0.375855 8.01740697805 -0.57605911347 -0.0133417272905 13.0348724052 -0.750365970321 -0.0242389675443 23.0588927316 -0.625136003488 -0.0285631225109
0.377469 8.0128961825 -0.576627555391 -0.0133729577407 13.0289209837 -0.751263489313 -0.0242969837024 23.0540461863 -0.625842901373 -0.0286161691642
0.379083 8.0083784161 -0.577169333541 -0.0134032826475 13.0229458955 -0.752128888697 -0.0243529766069 23.049204516 -0.626520555487 -0.0286646387317
0.380697 8.00385859554 -0.577686289174 -0.0134329485946 13.0169405156 -0.752958105971 -0.0244064775099 23.0443667624 -0.627167835411 -0.0287131530488
0.382311 7.99933877915 -0.578178936032 -0.0134616441652 13.0109311774 -0.753753526553 -0.0244610787493 23.0394741754 -0.627786893234 -0.0287597094486
0.383925 7.99481435443 -0.578647204955 -0.0134903147335 13.0049258392 -0.754509689604 -0.0245132286507 23.0346031301 -0.628376257701 -0.0288036849295
0.385539 7.99028238386 -0.57908900761 -0.0135187463444 12.9989047093 -0.755234632213 -0.0245672693066 23.0297232931 -0.62893683798 -0.0288462733277
0.387153 7.98575481746 -0.579505657323 -0.0135465727844 12.9928454127 -0.755922776877 -0.0246185107916 23.0248689145 -0.62946943449 -0.028888696725
0.388767 7.9812279469 -0.579897842018 -0.0135741259355 12.9868194495 -0.756574929847 -0.024670389194 23.0199684525 -0.629971360144 -0.0289279588695
0.390381 7.97669225549 -0.580263697523 -0.013601319874 12.9807895696 -0.757193791961 -0.0247199326793 23.0150886573 -0.630446851196 -0.0289657793475
0.391995 7.97215450575 -0.580606018428 -0.0136279250632 12.9747381897 -0.757773035706 -0.0247699021618 23.010196987 -0.630890271807 -0.0290020819069
0.393609 7.96762215603 -0.580926817648 -0.013653311333 12.9686582681 -0.758321029014 -0.0248197991441 23.005300525 -0.63130740823 -0.0290359927976
0.395223 7.96308029795 -0.58121787601 -0.0136797785611 12.9626068883 -0.758833096043 -0.024868048708 23.000404063 -0.631694320469 -0.0290686957707
0.396837 7.95854510239 -0.581485923523 -0.0137043200344 12.956519175 -0.759308192211 -0.0249138813541 22.9955203095 -0.632053202687 -0.0290992116577
0.398451 7.95400815683 -0.581732073515 -0.0137291803416 12.9504638368 -0.759749359603 -0.0249600952485 22.9906159725 -0.632381624466 -0.0291286325436
0.400065 7.94946844876 -0.581951614738 -0.0137544376902 12.9443721652 -0.760154814884 -0.0250062889749 22.9857283022 -0.632683312058 -0.0291557371771
0.401679 7.94493110736 -0.582147316772 -0.0137787502444 12.9382962436 -0.760525218056 -0.0250511789496 22.9808112152 -0.632955192546 -0.0291804784737
0.403292 7.94039759096 -0.582318883787 -0.0138025213803 12.932203697 -0.760859311617 -0.0250951049249 22.9759186699 -0.633198356347 -0.029203168101
