x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.9638 9.49545 0.175506 -2.23122e-05 14.5133 0.167968 0.000261833 23.7533 0.092571 -8.78876e-05
-3.95979 9.49461 0.175867 -2.22915e-05 14.5125 0.168319 0.000261695 23.7529 0.0927707 -8.82023e-05
-3.95579 9.49376 0.176229 -2.20435e-05 14.5117 0.168671 0.000261567 23.7525 0.0929708 -8.86454e-05
-3.95179 9.49292 0.176593 -2.1899e-05 14.5109 0.169024 0.000261354 23.752 0.0931721 -8.90275e-05
-3.94779 9.49207 0.176956 -2.18559e-05 14.5101 0.169377 0.000261316 23.7516 0.0933729 -8.94625e-05
-3.94379 9.49122 0.177322 -2.18086e-05 14.5093 0.169732 0.000261096 23.7511 0.0935745 -8.97587e-05
-3.93979 9.49036 0.177688 -2.15943e-05 14.5085 0.170087 0.000260824 23.7507 0.0937767 -9.02238e-05
-3.93579 9.48951 0.178054 -2.14728e-05 14.5077 0.170444 0.000260638 23.7503 0.0939798 -9.0621e-05
-3.93178 9.48865 0.178422 -2.13782e-05 14.5068 0.170802 0.000260443 23.7498 0.0941833 -9.09768e-05
-3.92778 9.4878 0.178791 -2.13225e-05 14.506 0.17116 0.00026032 23.7494 0.0943871 -9.14287e-05
-3.92378 9.48694 0.179161 -2.11547e-05 14.5052 0.17152 0.000260187 23.7489 0.0945918 -9.1874e-05
-3.91978 9.48608 0.179531 -2.10143e-05 14.5044 0.17188 0.000259901 23.7485 0.0947974 -9.23621e-05
-3.91578 9.48522 0.179902 -2.08654e-05 14.5036 0.172241 0.000259639 23.748 0.0950028 -9.27573e-05
-3.91178 9.48435 0.180275 -2.0707e-05 14.5027 0.172603 0.000259437 23.7476 0.0952091 -9.32771e-05
-3.90777 9.48349 0.180648 -2.05271e-05 14.5019 0.172966 0.000259249 23.7471 0.0954159 -9.36326e-05
-3.90377 9.48262 0.181022 -2.04538e-05 14.5011 0.173329 0.000259092 23.7467 0.0956231 -9.40919e-05
-3.89977 9.48175 0.181397 -2.02126e-05 14.5002 0.173695 0.000258925 23.7462 0.0958313 -9.44422e-05
-3.89577 9.48087 0.181773 -2.01987e-05 14.4994 0.174061 0.000258712 23.7458 0.0960397 -9.47951e-05
-3.89177 9.48 0.182149 -2.00512e-05 14.4986 0.174428 0.000258559 23.7453 0.0962487 -9.52811e-05
-3.88777 9.47912 0.182528 -1.99443e-05 14.4977 0.174795 0.000258121 23.7449 0.0964583 -9.5733e-05
-3.88377 9.47825 0.182906 -1.97059e-05 14.4969 0.175164 0.000258022 23.7444 0.0966683 -9.61089e-05
-3.87976 9.47737 0.183287 -1.97044e-05 14.4961 0.175533 0.000257841 23.744 0.0968789 -9.65174e-05
-3.87576 9.47649 0.183668 -1.9469e-05 14.4952 0.175904 0.000257499 23.7435 0.0970901 -9.70761e-05
-3.87176 9.47561 0.184049 -1.93755e-05 14.4944 0.176276 0.000257352 23.743 0.0973016 -9.75619e-05
-3.86776 9.47473 0.18443 -1.91478e-05 14.4935 0.176648 0.000257231 23.7426 0.0975143 -9.78593e-05
