r   Veff10  aoa10 ui10 utan10 cn10 ct10 Veff15 aoa15 ui15 utan15 cn15 ct15 Veff24 aoa24 ui24 utan24 cn24
1.54519733108 69.23389453 2.22666181499 5.54796072 0.44618876 0.58476655 0.0127673 70.13769935 6.35125663959 5.46681076 0.83750393 1.04052009 0.10427244 72.44731538 15.1857140822 3.23944266 0.6972711 1.12519256 0.1814351
1.63088553281 73.02154531 2.35924768653 5.59561148 0.39556321 0.5788454 0.01437299 73.88222548 6.29791942548 5.49095825 0.76936963 1.02239481 0.10224033 76.11771702 14.5146120545 3.50541719 0.76514138 1.17188969 0.20763941
1.71334603471 76.66332931 2.4922621305 5.75771471 0.34316996 0.58406218 0.0162113 77.48330952 6.28818372663 5.60526535 0.70333057 1.0149859 0.10172012 79.63703232 14.0654744496 3.72461732 0.776624 1.19880592 0.21892165
1.79191491815 80.13082081 2.57660151794 5.97245961 0.2928946 0.59434203 0.01752168 80.91223929 6.24062994851 5.78497751 0.64400818 1.0103531 0.10038644 82.9807119 13.7355218063 3.86604768 0.74298131 1.19438548 0.21491329
1.86595959477 83.40136581 2.68153243559 6.17117141 0.24366839 0.60727904 0.01920562 84.14557675 6.20454048291 5.98895401 0.58779577 1.00679291 0.0993745 86.13974143 13.4604671142 4.02219303 0.71222519 1.18755427 0.21096096
1.93488389933 86.4475913 2.79643281886 6.35547007 0.19615527 0.62156235 0.02111329 87.15482774 6.15867864915 6.23685893 0.53505599 1.00220568 0.0980879 89.08319758 13.2051834768 4.22851762 0.68950744 1.18172812 0.20738259
1.99813289867 89.24385593 2.919426231 6.53475336 0.14955952 0.63689565 0.0232226 89.91490238 6.09963706724 6.54332888 0.48504406 0.99618196 0.09642895 91.78203599 12.9543924014 4.51547317 0.67571994 1.17788721 0.20413683
2.0551973346 91.7658994 3.03672730744 6.7257414 0.10309217 0.65147035 0.02529184 92.40119493 6.00455987776 6.94186957 0.43710361 0.98615399 0.09374615 94.2077143 12.6705806224 4.93926803 0.67399561 1.17619024 0.20080646
2.10561776795 93.99112187 3.12682148297 6.9481437 0.05576723 0.66258837 0.02691543 94.59259024 5.84952093614 7.45823415 0.39085431 0.96885409 0.08933576 96.33257286 12.2945759234 5.58488936 0.68859581 1.17491907 0.19654449
2.14898824149 95.90137647 3.20420573574 7.19189624 0.00593653 0.67207377 0.02833253 96.47420249 5.66558143038 8.05523756 0.34354368 0.9471935 0.08410043 98.13626693 11.8143685362 6.49095597 0.71458076 1.17070401 0.19112261
